渠道,客户分群,活动数,曝光数,点击数,线索数,成交数,点击率CTR,线索率,成交率,总转化率,总收入,总成本,平均ROI
Email,Tier 2 City Customers,3713,102076209,8733053,3504338,1916503,8.56,40.13,54.69,1.88,966896413,677421,1.4078
Email,Youth,3700,102022279,8624197,3449185,1898959,8.45,39.99,55.06,1.86,948367436,658712,1.3911
Email,Premium Shoppers,3670,102052740,8651866,3438262,1913269,8.48,39.74,55.65,1.87,963288293,682767,1.3892
Email,College Students,3751,104778545,8964322,3598192,1960193,8.56,40.14,54.48,1.87,968169432,721133,1.3489
Email,Working Women,3627,98024036,8391235,3347268,1831222,8.56,39.89,54.71,1.87,920955441,661227,1.3237
Facebook,Working Women,3631,99578703,8599236,3439466,1898344,8.64,40.00,55.19,1.91,956060629,691544,1.3821
Facebook,College Students,3803,105647479,8912998,3565327,1951097,8.44,40.00,54.72,1.85,981081364,725909,1.35
Facebook,Youth,3709,102845939,8729429,3461718,1912679,8.49,39.66,55.25,1.86,946702350,694477,1.346
Facebook,Premium Shoppers,3604,97908829,8204934,3320952,1827400,8.38,40.48,55.03,1.87,908268886,674929,1.3408
Facebook,Tier 2 City Customers,3597,98907335,8418311,3346487,1845317,8.51,39.75,55.14,1.87,926751601,694213,1.3039
Google,College Students,3718,102357075,8778236,3528903,1960683,8.58,40.20,55.56,1.92,990271640,703929,1.413
Google,Premium Shoppers,3633,100421628,8600723,3436359,1899091,8.56,39.95,55.26,1.89,952968124,693245,1.3821
Google,Working Women,3777,103780859,8826647,3510195,1915159,8.51,39.77,54.56,1.85,960258783,735914,1.3449
Google,Tier 2 City Customers,3685,101240525,8604016,3441043,1893094,8.50,39.99,55.02,1.87,952597870,702690,1.3106
Google,Youth,3740,100787383,8546084,3399369,1848885,8.48,39.78,54.39,1.83,925407725,711752,1.2642
Instagram,Premium Shoppers,3734,104005954,8867314,3579203,1981180,8.53,40.36,55.35,1.90,978981117,752520,1.3972
Instagram,Working Women,3730,104458672,8964959,3581794,1979774,8.58,39.95,55.27,1.90,981751425,685049,1.3936
Instagram,Youth,3658,99449669,8470611,3390683,1869130,8.52,40.03,55.13,1.88,932824541,688385,1.3824
Instagram,Tier 2 City Customers,3666,102220015,8752426,3513691,1944800,8.56,40.15,55.35,1.90,968433046,684607,1.3793
Instagram,College Students,3705,101228725,8449342,3402360,1878199,8.35,40.27,55.20,1.86,937271386,667499,1.3284
WhatsApp,Working Women,3760,104568425,8941663,3622661,2009014,8.55,40.51,55.46,1.92,994747010,722412,1.4407
WhatsApp,College Students,3797,103910888,8825413,3549520,1968101,8.49,40.22,55.45,1.89,997797839,715120,1.4175
WhatsApp,Tier 2 City Customers,3568,99463134,8515384,3403934,1859333,8.56,39.97,54.62,1.87,927309892,692150,1.3363
WhatsApp,Youth,3698,101489690,8657539,3453666,1900049,8.53,39.89,55.02,1.87,935081885,684955,1.3131
WhatsApp,Premium Shoppers,3704,102424840,8580403,3425550,1873541,8.38,39.92,54.69,1.83,938949997,681037,1.3015
YouTube,Tier 2 City Customers,3629,101074307,8624727,3467709,1906844,8.53,40.21,54.99,1.89,949857453,692191,1.4048
YouTube,Working Women,3802,105917766,9046939,3644129,2005290,8.54,40.28,55.03,1.89,998153728,703774,1.3961
YouTube,Premium Shoppers,3666,102391405,8843260,3555560,1951013,8.64,40.21,54.87,1.91,967453962,693318,1.39
YouTube,Youth,3686,103971026,8779831,3497869,1917392,8.44,39.84,54.82,1.84,954793988,724154,1.3363
YouTube,College Students,3742,101403391,8540660,3416409,1865369,8.42,40.00,54.60,1.84,924911029,746481,1.2642
